ppo_gan1_t1,MMD,0.865,0.667,"[['0', 0.4568, 2], ['1', 0.4086, 1]]",KS,0.865,0.667,"[['0', 0.4568, 2], ['1', 0.4086, 1]]"
ppo_gan2_t1,MMD,0.657,1.0,"[['0', 0.04204, 0], ['1', 0.24306, 2], ['2', 0.3722, 1]]",KS,0.657,1.0,"[['0', 0.04204, 0], ['1', 0.24306, 2], ['2', 0.3722, 1]]"
ppo_gan3_t1,MMD,0.496,0.667,"[['3', 0.164, 2], ['4', 0.0527, 1], ['5', 0.279, 1]]",KS,0.496,0.667,"[['3', 0.164, 2], ['4', 0.0527, 1], ['5', 0.279, 1]]"
ppo_vae1_t1,MMD,0.571,0.667,"[['0', 0.2104, 1], ['1', 0.361, 2]]",KS,0.571,0.667,"[['0', 0.2104, 1], ['1', 0.361, 2]]"
ppo_vae2_t1,MMD,0.581,0.667,"[['0', 0.3604, 2], ['1', 0.221, 1]]",KS,0.581,0.667,"[['0', 0.3604, 2], ['1', 0.221, 1]]"
ppo_vae3_t1,MMD,0.837,0.667,"[['0', 0.2628, 1], ['1', 0.574, 2]]",KS,0.837,0.667,"[['0', 0.2628, 1], ['1', 0.574, 2]]"
ppo_vae4_t1,MMD,0.46,1.0,"[['0', 0.3052, 2], ['1', 0.00024, 0], ['2', 0.1544, 1]]",KS,0.46,1.0,"[['0', 0.3052, 2], ['1', 0.00024, 0], ['2', 0.1544, 1]]"
ppo_vae5_t1,MMD,0.644,1.0,"[['0', 0.3708, 2], ['1', 0.01894, 0], ['2', 0.254, 1]]",KS,0.644,1.0,"[['0', 0.3708, 2], ['1', 0.01894, 0], ['2', 0.254, 1]]"
ppo_vae6_t1,MMD,0.704,1.0,"[['0', 0.263, 1], ['1', 0.02778, 0], ['2', 0.413, 2]]",KS,0.704,1.0,"[['0', 0.263, 1], ['1', 0.02778, 0], ['2', 0.413, 2]]"
